# Time (s), V_L (m^3), BOG (kg/s), Tv_avg (K), Q_V (W), BL (kg/s)
7.920000000000000000e+03, 1.886368587855492395e-03, 1.516883299533343683e-07, 2.399817278080680012e+02, 1.485655826345295971e-01, 1.506004901135350680e-07
7.980000000000000000e+03, 1.886443319150235554e-03, 1.516864871146865593e-07, 2.399817114694803593e+02, 1.485633416047199840e-01, 1.505994705429672254e-07
8.040000000000000000e+03, 1.886518050439372519e-03, 1.516846314382621620e-07, 2.399816934149360179e+02, 1.485611049563305142e-01, 1.505982366512370385e-07
8.100000000000000000e+03, 1.886592781727053185e-03, 1.516829813449261425e-07, 2.399816733798994619e+02, 1.485588733646422965e-01, 1.505967484119639973e-07
8.160000000000000000e+03, 1.886667513008039553e-03, 1.516809178346151102e-07, 2.399816543622496567e+02, 1.485566391732732749e-01, 1.505954335435405809e-07
8.220000000000000000e+03, 1.886742244287301171e-03, 1.516787156743991255e-07, 2.399816298767450462e+02, 1.485544189446512398e-01, 1.505933606660832173e-07
8.280000000000000000e+03, 1.886816975562792152e-03, 1.516688326404897392e-07, 2.399816100892639952e+02, 1.485521867162684362e-01, 1.505919851746518952e-07
8.340000000000000000e+03, 1.886891706923363946e-03, 1.516623634548824395e-07, 2.399815350353293866e+02, 1.485500956226989688e-01, 1.505827102726889424e-07
8.400000000000000000e+03, 1.886966438191711769e-03, 1.516784949254838504e-07, 2.399815319197959127e+02, 1.485478208132458011e-01, 1.505837677669614624e-07
8.460000000000000000e+03, 1.887041169451039030e-03, 1.516822781529281695e-07, 2.399815464615313658e+02, 1.485455009122370884e-01, 1.505873759224155518e-07
8.520000000000000000e+03, 1.887115900705841048e-03, 1.516817405529670940e-07, 2.399815443875560845e+02, 1.485432234436024068e-01, 1.505886206798909507e-07
8.580000000000000000e+03, 1.887190631961037281e-03, 1.516829989043465466e-07, 2.399815483355916967e+02, 1.485409305967816673e-01, 1.505907457826973834e-07
8.640000000000000000e+03, 1.887265363206378117e-03, 1.516818292803196078e-07, 2.399815411101576501e+02, 1.485386662830843751e-01, 1.505912851637300160e-07
8.700000000000000000e+03, 1.887340094447352437e-03, 1.516827238068542803e-07, 2.399815349001575271e+02, 1.485363993759865608e-01, 1.505919849987613479e-07
8.760000000000000000e+03, 1.887414825680471496e-03, 1.516835290516577426e-07, 2.399815288319278466e+02, 1.485341321066281639e-01, 1.505927190635801628e-07
8.820000000000000000e+03, 1.887489556909966500e-03, 1.516842605228543408e-07, 2.399815230449872558e+02, 1.485318641186389177e-01, 1.505935064382860148e-07
8.880000000000000000e+03, 1.887564288132274545e-03, 1.516848436345322440e-07, 2.399815166444107035e+02, 1.485295976972962617e-01, 1.505942179680847002e-07
8.940000000000000000e+03, 1.887639019351637897e-03, 1.516853633396306629e-07, 2.399815100940263903e+02, 1.485273316580600633e-01, 1.505949193402337625e-07
9.000000000000000000e+03, 1.887713750564561088e-03, 1.516855872220452500e-07, 2.399815026134216112e+02, 1.485250679936934715e-01, 1.505954979201402641e-07
9.060000000000000000e+03, 1.887788481770132304e-03, 1.516857832328562190e-07, 2.399814939545689469e+02, 1.485228073374081637e-01, 1.505959174418910508e-07
9.120000000000000000e+03, 1.887863212974807752e-03, 1.516862185402155074e-07, 2.399814851450107085e+02, 1.485205470652641857e-01, 1.505963245603567288e-07
9.180000000000000000e+03, 1.887937944178000446e-03, 1.516864809734572137e-07, 2.399814766531859789e+02, 1.485182859812237133e-01, 1.505967858241583951e-07
9.240000000000000000e+03, 1.888012675374987383e-03, 1.516901771645129200e-07, 2.399814666613303018e+02, 1.485160287265886447e-01, 1.505970400463607549e-07
9.300000000000000000e+03, 1.888087406626052372e-03, 1.516935708465505721e-07, 2.399814786288058883e+02, 1.485137154037658169e-01, 1.506004501809248642e-07
9.360000000000000000e+03, 1.888162137817493832e-03, 1.516918196315634997e-07, 2.399814685396921732e+02, 1.485114583969052160e-01, 1.506007049777665514e-07
9.420000000000000000e+03, 1.888236869017482925e-03, 1.516924797895933632e-07, 2.399814685831975964e+02, 1.485091755195588892e-01, 1.506024191112837168e-07
9.480000000000000000e+03, 1.888311600203414252e-03, 1.516844355988730327e-07, 2.399814522280391884e+02, 1.485069345091761528e-01, 1.506017880996770764e-07
9.540000000000000000e+03, 1.888386331399923707e-03, 1.516798591487903472e-07, 2.399814081977356466e+02, 1.485047641519983141e-01, 1.505971945516363983e-07
9.600000000000000000e+03, 1.888461062578789288e-03, 1.516838100781886014e-07, 2.399813919422189770e+02, 1.485025228837959232e-01, 1.505965886938973011e-07
9.660000000000000000e+03, 1.888535793756198136e-03, 1.516829941104039424e-07, 2.399813750032937207e+02, 1.485002833590547411e-01, 1.505958897662474728e-07
